model_id,lab,country_iso3,date,workload_input_tokens,workload_output_tokens,input_usd_per_mtok,output_usd_per_mtok,workload_cost_usd,gni_per_capita_atlas_usd,gni_year,monthly_gni_pc_usd,intelligence_share_pct,basket_multiplier,basket_share_pct,fx_rate_local_per_usd,fx_rate_type,fx_date,fx_source,workload_cost_local,currency,hourly_minimum_wage_local,minimum_wage_date,min_wage_hours,basket_min_wage_hours,evidence_status,temporal_status,headline_eligible,weakest_input,formula_version,compiled
Kimi K3 (max),Moonshot AI,EGY,2026-07-16,1000000,250000,3.0,15.0,6.75,3260.0,2025,271.6667,2.4847,20,49.6933,51.8636,official,2026-09-21,Central Bank of Egypt,350.0793,EGP,33.65,2025-03-01,10.4035,208.07,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,MAR,2026-07-16,1000000,250000,3.0,15.0,6.75,4360.0,2025,363.3333,1.8578,20,37.156,9.5119,official,2026-09-18,Bank Al-Maghrib,64.2053,MAD,17.92,2026-01-01,3.5829,71.66,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,ETH,2026-07-16,1000000,250000,3.0,15.0,6.75,1110.0,2025,92.5,7.2973,20,145.9459,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),1084.3875,ETB,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,RWA,2026-07-16,1000000,250000,3.0,15.0,6.75,1150.0,2025,95.8333,7.0435,20,140.8696,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),9907.9873,RWF,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,SEN,2026-07-16,1000000,250000,3.0,15.0,6.75,1780.0,2025,148.3333,4.5506,20,91.0112,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),3863.6325,XOF,370.526,2023-07-01,10.4274,208.55,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Kimi K3 (max),Moonshot AI,CIV,2026-07-16,1000000,250000,3.0,15.0,6.75,2780.0,2025,231.6667,2.9137,20,58.2734,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),3863.6325,XOF,432.78,2023-01-01,8.9275,178.55,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,NGA,2026-08-01,1000000,250000,2.0,6.0,3.5,1360.0,2025,113.3333,3.0882,20,61.7647,1330.7027,official,2026-09-18,Central Bank of Nigeria,4657.4595,NGN,403.92,2024-05-01,11.5306,230.61,derived,measured,False,minimum-wage source is industry_body,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,KEN,2026-08-01,1000000,250000,2.0,6.0,3.5,2200.0,2025,183.3333,1.9091,20,38.1818,129.49,official,2026-09-18,Central Bank of Kenya,453.215,KES,92.55,2026-05-01,4.897,97.94,derived,measured,True,,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,ZAF,2026-08-01,1000000,250000,2.0,6.0,3.5,6270.0,2025,522.5,0.6699,20,13.3971,16.2057,official,2026-09-21,South African Reserve Bank,56.7199,ZAR,30.23,2026-03-01,1.8763,37.53,derived,measured,True,,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,GHA,2026-08-01,1000000,250000,2.0,6.0,3.5,2630.0,2025,219.1667,1.597,20,31.9392,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),40.18,GHS,2.72,2026-01-01,14.7721,295.44,derived,measured,False,minimum-wage source is trade_reporting,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,EGY,2026-08-01,1000000,250000,2.0,6.0,3.5,3260.0,2025,271.6667,1.2883,20,25.7669,51.8636,official,2026-09-21,Central Bank of Egypt,181.5226,EGP,33.65,2025-03-01,5.3944,107.89,derived,measured,True,,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,MAR,2026-08-01,1000000,250000,2.0,6.0,3.5,4360.0,2025,363.3333,0.9633,20,19.2661,9.5119,official,2026-09-18,Bank Al-Maghrib,33.2917,MAD,17.92,2026-01-01,1.8578,37.16,derived,measured,True,,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,ETH,2026-08-01,1000000,250000,2.0,6.0,3.5,1110.0,2025,92.5,3.7838,20,75.6757,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),562.275,ETB,,,,,derived,measured,False,no statutory minimum wage,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,RWA,2026-08-01,1000000,250000,2.0,6.0,3.5,1150.0,2025,95.8333,3.6522,20,73.0435,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),5137.4749,RWF,,,,,derived,measured,False,no statutory minimum wage,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,SEN,2026-08-01,1000000,250000,2.0,6.0,3.5,1780.0,2025,148.3333,2.3596,20,47.191,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),2003.365,XOF,370.526,2023-07-01,5.4068,108.14,derived,measured,False,minimum-wage source is trade_reporting,A-1.0,2026-09-21
Grok 4.6,SpaceXAI,CIV,2026-08-01,1000000,250000,2.0,6.0,3.5,2780.0,2025,231.6667,1.5108,20,30.2158,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),2003.365,XOF,432.78,2023-01-01,4.6291,92.58,derived,measured,False,minimum-wage source is industry_body,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,NGA,2026-08-13,1000000,250000,0.66,1.98,1.155,1360.0,2025,113.3333,1.0191,20,20.3824,1330.7027,official,2026-09-18,Central Bank of Nigeria,1536.9616,NGN,403.92,2024-05-01,3.8051,76.1,derived,measured,False,minimum-wage source is industry_body,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,KEN,2026-08-13,1000000,250000,0.66,1.98,1.155,2200.0,2025,183.3333,0.63,20,12.6,129.49,official,2026-09-18,Central Bank of Kenya,149.561,KES,92.55,2026-05-01,1.616,32.32,derived,measured,True,,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,ZAF,2026-08-13,1000000,250000,0.66,1.98,1.155,6270.0,2025,522.5,0.2211,20,4.4211,16.2057,official,2026-09-21,South African Reserve Bank,18.7176,ZAR,30.23,2026-03-01,0.6192,12.38,derived,measured,True,,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,GHA,2026-08-13,1000000,250000,0.66,1.98,1.155,2630.0,2025,219.1667,0.527,20,10.5399,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),13.2594,GHS,2.72,2026-01-01,4.8748,97.5,derived,measured,False,minimum-wage source is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,EGY,2026-08-13,1000000,250000,0.66,1.98,1.155,3260.0,2025,271.6667,0.4252,20,8.5031,51.8636,official,2026-09-21,Central Bank of Egypt,59.9025,EGP,33.65,2025-03-01,1.7802,35.6,derived,measured,True,,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,MAR,2026-08-13,1000000,250000,0.66,1.98,1.155,4360.0,2025,363.3333,0.3179,20,6.3578,9.5119,official,2026-09-18,Bank Al-Maghrib,10.9862,MAD,17.92,2026-01-01,0.6131,12.26,derived,measured,True,,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,ETH,2026-08-13,1000000,250000,0.66,1.98,1.155,1110.0,2025,92.5,1.2486,20,24.973,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),185.5507,ETB,,,,,derived,measured,False,no statutory minimum wage,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,RWA,2026-08-13,1000000,250000,0.66,1.98,1.155,1150.0,2025,95.8333,1.2052,20,24.1043,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),1695.3667,RWF,,,,,derived,measured,False,no statutory minimum wage,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,SEN,2026-08-13,1000000,250000,0.66,1.98,1.155,1780.0,2025,148.3333,0.7787,20,15.573,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),661.1105,XOF,370.526,2023-07-01,1.7842,35.68,derived,measured,False,minimum-wage source is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Pro 0813 (max),DeepSeek,CIV,2026-08-13,1000000,250000,0.66,1.98,1.155,2780.0,2025,231.6667,0.4986,20,9.9712,572.39,official,2026-09-18,BCEAO (Central Bank of West African States),661.1105,XOF,432.78,2023-01-01,1.5276,30.55,derived,measured,False,minimum-wage source is industry_body,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,NGA,2026-08-13,1000000,250000,0.22,0.66,0.385,1360.0,2025,113.3333,0.3397,20,6.7941,1330.7027,official,2026-09-18,Central Bank of Nigeria,512.3205,NGN,403.92,2024-05-01,1.2684,25.37,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,KEN,2026-08-13,1000000,250000,0.22,0.66,0.385,2200.0,2025,183.3333,0.21,20,4.2,129.49,official,2026-09-18,Central Bank of Kenya,49.8537,KES,92.55,2026-05-01,0.5387,10.77,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,ZAF,2026-08-13,1000000,250000,0.22,0.66,0.385,6270.0,2025,522.5,0.0737,20,1.4737,16.2057,official,2026-09-21,South African Reserve Bank,6.2392,ZAR,30.23,2026-03-01,0.2064,4.13,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,GHA,2026-08-13,1000000,250000,0.22,0.66,0.385,2630.0,2025,219.1667,0.1757,20,3.5133,11.48,official,2026-09-21,Yahoo Finance (USDGHS=X),4.4198,GHS,2.72,2026-01-01,1.6249,32.5,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,EGY,2026-08-13,1000000,250000,0.22,0.66,0.385,3260.0,2025,271.6667,0.1417,20,2.8344,51.8636,official,2026-09-21,Central Bank of Egypt,19.9675,EGP,33.65,2025-03-01,0.5934,11.87,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,MAR,2026-08-13,1000000,250000,0.22,0.66,0.385,4360.0,2025,363.3333,0.106,20,2.1193,9.5119,official,2026-09-18,Bank Al-Maghrib,3.6621,MAD,17.92,2026-01-01,0.2044,4.09,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,ETH,2026-08-13,1000000,250000,0.22,0.66,0.385,1110.0,2025,92.5,0.4162,20,8.3243,160.649994,official,2026-09-18,Yahoo Finance (USDETB=X),61.8502,ETB,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
DeepSeek V4 Flash 0731,DeepSeek,RWA,2026-08-13,1000000,250000,0.22,0.66,0.385,1150.0,2025,95.8333,0.4017,20,8.0348,1467.849976,official,2026-09-21,Yahoo Finance (USDRWF=X),565.1222,RWF,,,,,derived,measured,False,model price row is trade_reporting,A-1.0,2026-09-21
